,METAREA,COUNTY,AGE,COVIDUNAW,month_le,gender_Female,gender_Male,education_Bachelor's,education_Graduate or Professional Degree,education_High School or below,education_Some College or Associate Degree,race_Asian,race_Black,race_Native American,race_White,hispanic_Hispanic,hispanic_Non-Hispanic,marital_status_Divorced,marital_status_Married,marital_status_Single
70,2560,0,31,2,5,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
71,2560,0,27,1,5,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
72,3121,37067,21,1,5,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
73,6642,0,80,2,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
74,6641,0,31,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
75,6641,0,32,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
76,1521,37119,31,1,5,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
77,1521,37119,35,1,5,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
78,6641,0,47,2,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
79,6641,0,39,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
80,6642,0,60,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
81,6642,0,61,2,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
82,1521,37119,36,1,5,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
83,1521,37119,61,1,5,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
84,1521,37119,59,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
85,1521,37119,80,1,5,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0
86,1521,37119,35,1,5,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
87,1521,37119,57,1,5,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
88,6642,0,37,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
89,6642,0,38,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
90,6641,0,53,1,5,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0
91,1521,37119,60,1,5,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
92,2560,0,59,1,5,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
93,1521,37119,68,1,5,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
94,3121,37067,27,1,5,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
95,3122,0,54,1,5,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
96,2560,0,50,1,5,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0
97,6641,0,38,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
98,6641,0,40,1,5,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
99,1521,37119,44,1,5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
100,1521,37119,39,1,5,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
101,6642,0,61,1,5,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0
102,1521,0,23,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
