YEAR,MONTH,METAREA,COUNTY,AGE,SEX,RACE,MARST,HISPAN,EDUC,COVIDTELEW,COVIDUNAW,education,marital_status,gender
2020,5,3122,0,37,1,100,1,0,73,1,1,High School or below,Married,Male
2020,5,3122,0,32,2,200,1,0,73,1,1,High School or below,Married,Female
2020,5,6642,0,60,2,100,4,0,81,1,1,Some College or Associate Degree,Divorced,Female
2020,5,1521,0,62,1,100,6,0,111,1,1,Bachelor's,Single,Male
2020,5,3122,0,26,1,801,6,0,111,1,1,Bachelor's,Single,Male
2020,5,6642,0,52,1,100,6,0,111,1,1,Bachelor's,Single,Male
2020,5,1521,37119,35,1,100,1,100,20,1,1,,Married,Male
2020,5,6642,0,42,2,100,4,0,123,2,1,Graduate or Professional Degree,Divorced,Female
2020,5,2560,0,31,1,200,6,0,73,1,2,High School or below,Single,Male
2020,5,2560,0,27,2,200,6,0,73,2,1,High School or below,Single,Female
2020,5,3121,37067,21,1,651,6,0,73,1,1,High School or below,Single,Male
2020,5,6642,0,80,1,100,1,0,111,1,2,Bachelor's,Married,Male
2020,5,6641,0,31,2,100,1,0,123,1,1,Graduate or Professional Degree,Married,Female
2020,5,6641,0,32,1,100,1,0,111,2,1,Bachelor's,Married,Male
2020,5,1521,37119,31,2,200,1,0,123,1,1,Graduate or Professional Degree,Married,Female
2020,5,1521,37119,35,1,200,1,0,111,1,1,Bachelor's,Married,Male
2020,5,6641,0,47,1,100,1,0,111,2,2,Bachelor's,Married,Male
2020,5,6641,0,39,2,100,1,0,111,2,1,Bachelor's,Married,Female
2020,5,6642,0,65,2,100,5,0,125,1,1,Graduate or Professional Degree,,Female
2020,5,6642,0,60,2,100,1,0,123,2,1,Graduate or Professional Degree,Married,Female
2020,5,6642,0,61,1,100,1,0,123,2,2,Graduate or Professional Degree,Married,Male
2020,5,1521,37119,36,1,200,6,0,111,2,1,Bachelor's,Single,Male
2020,5,1521,0,37,2,200,2,100,50,1,2,High School or below,,Female
2020,5,1521,37119,61,2,100,1,0,73,1,1,High School or below,Married,Female
2020,5,1521,37119,59,1,100,1,0,81,1,1,Some College or Associate Degree,Married,Male
2020,5,1521,37119,80,2,100,4,0,73,1,1,High School or below,Divorced,Female
2020,5,1521,37119,29,1,100,2,0,111,2,2,Bachelor's,,Male
2020,5,1521,37119,35,2,200,6,0,81,1,1,Some College or Associate Degree,Single,Female
2020,5,1521,37119,57,2,200,6,0,111,1,1,Bachelor's,Single,Female
2020,5,6642,0,37,2,100,1,0,123,2,1,Graduate or Professional Degree,Married,Female
2020,5,6642,0,38,1,100,1,0,123,2,1,Graduate or Professional Degree,Married,Male
2020,5,6641,0,53,2,200,4,0,111,2,1,Bachelor's,Divorced,Female
2020,5,1521,37119,60,1,200,6,0,111,1,1,Bachelor's,Single,Male
2020,5,2560,0,59,2,200,1,0,81,2,1,Some College or Associate Degree,Married,Female
2020,5,1521,37119,45,2,803,4,0,111,1,1,Bachelor's,Divorced,Female
2020,5,1521,37119,68,1,200,1,0,81,1,1,Some College or Associate Degree,Married,Male
2020,5,3121,37067,27,1,200,6,0,81,1,1,Some College or Associate Degree,Single,Male
2020,5,3122,0,34,1,100,2,0,123,2,1,Graduate or Professional Degree,,Male
2020,5,3122,0,54,2,100,4,0,111,2,1,Bachelor's,Divorced,Female
2020,5,2560,0,50,2,100,4,0,73,1,1,High School or below,Divorced,Female
2020,5,6641,0,38,1,100,1,0,123,2,1,Graduate or Professional Degree,Married,Male
2020,5,6641,0,40,2,651,1,0,111,2,1,Bachelor's,Married,Female
2020,5,1521,37119,48,2,200,3,0,123,1,2,Graduate or Professional Degree,,Female
2020,5,1521,37119,44,1,651,1,0,123,2,1,Graduate or Professional Degree,Married,Male
2020,5,1521,37119,39,2,651,1,0,123,2,1,Graduate or Professional Degree,Married,Female
2020,5,6642,0,61,1,100,4,0,111,1,1,Bachelor's,Divorced,Male
2020,5,1521,0,23,1,100,6,0,111,2,1,Bachelor's,Single,Male
2020,5,1521,0,24,2,100,6,0,111,2,1,Bachelor's,Single,Female
2020,5,6641,0,34,1,200,6,0,123,2,1,Graduate or Professional Degree,Single,Male
2020,5,6641,0,38,1,200,6,0,123,2,1,Graduate or Professional Degree,Single,Male
2020,5,1521,37119,57,1,100,1,0,123,2,1,Graduate or Professional Degree,Married,Male
2020,5,1521,37119,23,1,100,6,0,111,1,2,Bachelor's,Single,Male
2020,5,6641,0,60,1,100,1,0,125,2,1,Graduate or Professional Degree,Married,Male
2020,5,6641,0,61,2,100,1,0,111,2,1,Bachelor's,Married,Female
2020,5,3121,37067,21,2,200,6,0,81,1,1,Some College or Associate Degree,Single,Female
2020,5,1521,37119,35,1,100,1,0,81,1,1,Some College or Associate Degree,Married,Male
2020,5,2560,0,28,1,100,1,600,123,2,1,Graduate or Professional Degree,Married,Male
2020,5,2560,0,28,2,100,1,0,123,1,2,Graduate or Professional Degree,Married,Female
2020,5,3122,0,49,2,100,1,0,81,1,2,Some College or Associate Degree,Married,Female
2020,5,1521,37119,49,1,100,1,0,111,2,1,Bachelor's,Married,Male
2020,5,1521,37119,41,2,100,1,0,111,2,1,Bachelor's,Married,Female
2020,5,1521,37119,42,1,100,1,0,111,2,1,Bachelor's,Married,Male
2020,5,6642,0,67,1,651,1,0,125,2,1,Graduate or Professional Degree,Married,Male
2020,5,6642,0,33,1,651,6,0,124,1,1,Graduate or Professional Degree,Single,Male
2020,5,1521,37119,54,2,200,4,0,111,1,1,Bachelor's,Divorced,Female
2020,5,6642,0,30,1,100,1,0,111,2,1,Bachelor's,Married,Male
2020,5,6642,0,31,2,100,1,0,111,2,1,Bachelor's,Married,Female
2020,5,1521,37119,31,1,100,6,0,111,1,1,Bachelor's,Single,Male
2020,5,6642,0,58,1,100,1,0,81,1,1,Some College or Associate Degree,Married,Male
2020,5,6641,0,46,2,651,1,0,125,2,1,Graduate or Professional Degree,Married,Female
2020,5,6641,0,43,1,100,1,0,111,2,2,Bachelor's,Married,Male
2020,5,6641,0,35,2,651,6,0,125,2,1,Graduate or Professional Degree,Single,Female
2020,5,3121,37067,53,1,100,1,0,111,1,1,Bachelor's,Married,Male
2020,5,3121,37067,54,2,100,1,0,123,2,1,Graduate or Professional Degree,Married,Female
2020,5,6642,0,42,1,100,1,0,125,2,1,Graduate or Professional Degree,Married,Male
2020,5,6642,0,40,2,100,1,0,123,2,1,Graduate or Professional Degree,Married,Female
2020,5,1521,37119,61,2,200,1,0,71,1,2,High School or below,Married,Female
2020,5,6641,0,57,2,200,4,0,123,1,2,Graduate or Professional Degree,Divorced,Female
2020,5,3121,37067,34,1,100,1,0,73,2,1,High School or below,Married,Male
2020,5,3121,37067,29,2,100,1,0,73,2,1,High School or below,Married,Female
2020,5,2560,0,61,2,100,4,0,91,1,1,Some College or Associate Degree,Divorced,Female
2020,5,6642,0,33,1,100,1,0,124,2,1,Graduate or Professional Degree,Married,Male
2020,5,6642,0,37,2,200,4,0,92,1,1,Some College or Associate Degree,Divorced,Female
2020,5,6641,0,39,1,100,6,400,81,2,1,Some College or Associate Degree,Single,Male
2020,5,1521,37119,42,2,200,1,0,73,2,1,High School or below,Married,Female
2020,5,1521,37119,42,1,200,1,0,73,1,1,High School or below,Married,Male
2020,5,1521,37119,17,2,200,6,0,50,1,2,High School or below,Single,Female
2020,5,3122,0,51,2,100,4,0,111,1,1,Bachelor's,Divorced,Female
2020,5,3121,37067,40,1,651,4,0,111,2,1,Bachelor's,Divorced,Male
2020,5,1521,0,33,2,100,6,0,111,2,1,Bachelor's,Single,Female
2020,5,3122,0,29,2,200,6,0,71,1,1,High School or below,Single,Female
2020,5,1521,37119,48,1,100,1,0,111,1,1,Bachelor's,Married,Male
2020,5,1521,37119,46,2,100,1,0,111,1,1,Bachelor's,Married,Female
2020,5,1521,37119,22,2,100,6,0,111,1,1,Bachelor's,Single,Female
2020,5,6642,0,28,1,100,1,0,111,2,1,Bachelor's,Married,Male
2020,5,6642,0,27,2,652,1,0,111,2,1,Bachelor's,Married,Female
2020,5,1521,37119,36,1,200,6,0,111,1,1,Bachelor's,Single,Male
2020,5,1521,0,61,1,200,1,0,125,2,1,Graduate or Professional Degree,Married,Male
2020,5,1521,0,64,2,200,1,0,81,1,1,Some College or Associate Degree,Married,Female
2020,5,6642,0,36,1,100,1,0,123,1,1,Graduate or Professional Degree,Married,Male
2020,5,6641,0,61,2,200,6,0,111,1,1,Bachelor's,Single,Female
2020,5,1521,0,40,1,100,1,0,73,1,1,High School or below,Married,Male
2020,5,1521,0,39,2,100,1,0,81,1,1,Some College or Associate Degree,Married,Female
2020,5,6642,0,49,2,200,6,0,91,1,2,Some College or Associate Degree,Single,Female
2020,5,6641,0,43,1,100,1,0,124,1,1,Graduate or Professional Degree,Married,Male
2020,5,6641,0,39,2,100,1,0,111,1,1,Bachelor's,Married,Female
2020,5,3122,0,64,1,651,1,0,111,1,1,Bachelor's,Married,Male
2020,5,3122,0,55,2,651,1,0,111,1,1,Bachelor's,Married,Female
2020,5,6642,0,49,2,100,6,0,123,1,1,Graduate or Professional Degree,Single,Female
2020,5,2560,0,58,1,100,1,200,73,2,1,High School or below,Married,Male
2020,5,6641,0,56,2,100,1,0,92,2,1,Some College or Associate Degree,Married,Female
2020,5,6641,0,58,1,100,1,0,73,2,1,High School or below,Married,Male
2020,5,1521,37119,46,2,200,6,0,123,1,1,Graduate or Professional Degree,Single,Female
2020,5,3121,37067,43,1,200,6,0,81,1,2,Some College or Associate Degree,Single,Male
2020,5,1521,37119,26,2,100,6,0,111,2,1,Bachelor's,Single,Female
2020,5,1521,37119,27,1,100,6,0,111,2,1,Bachelor's,Single,Male
2020,5,1521,37119,34,1,100,1,0,111,2,1,Bachelor's,Married,Male
2020,5,1521,37119,34,2,100,1,0,111,2,1,Bachelor's,Married,Female
2020,5,6642,0,34,2,100,1,0,111,2,1,Bachelor's,Married,Female
2020,5,6642,0,35,1,100,1,0,111,1,2,Bachelor's,Married,Male
2020,5,6642,0,47,1,651,1,0,73,1,1,High School or below,Married,Male
2020,5,6642,0,35,1,100,1,0,123,1,1,Graduate or Professional Degree,Married,Male
2020,5,6642,0,35,2,100,1,0,123,1,1,Graduate or Professional Degree,Married,Female
2020,5,6642,0,28,1,100,6,0,73,1,1,High School or below,Single,Male
2020,5,1521,37119,33,1,651,2,0,111,2,1,Bachelor's,,Male
2020,5,1521,37119,31,1,651,6,0,111,1,1,Bachelor's,Single,Male
2020,5,1521,37119,31,1,651,6,0,111,1,1,Bachelor's,Single,Male
2020,5,3122,0,57,2,100,4,0,92,2,1,Some College or Associate Degree,Divorced,Female
2020,5,3122,0,24,1,100,6,0,73,1,1,High School or below,Single,Male
