METAREA,COUNTY,AGE,COVIDUNAW,month_le,gender_Female,gender_Male,education_Bachelor's,education_Graduate or Professional Degree,education_High School or below,education_Some College or Associate Degree,race_Asian,race_Black,race_Native American,race_White,hispanic_Hispanic,hispanic_Non-Hispanic,marital_status_Divorced,marital_status_Married,marital_status_Single
6642,0,80,2,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
6641,0,31,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
6641,0,32,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
1521,37119,31,1,5,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
1521,37119,35,1,5,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0
6641,0,47,2,5,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
6641,0,39,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0
6642,0,60,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
6642,0,61,2,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
1521,37119,36,1,5,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
1521,37119,61,1,5,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
1521,37119,59,1,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
1521,37119,80,1,5,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0
1521,37119,35,1,5,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
1521,37119,57,1,5,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
6642,0,37,1,5,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
6642,0,38,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
6641,0,53,1,5,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0
1521,37119,60,1,5,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1
2560,0,59,1,5,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
1521,37119,68,1,5,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
3121,37067,27,1,5,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
3122,0,54,1,5,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0
2560,0,50,1,5,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0
6641,0,38,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
6641,0,40,1,5,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
1521,37119,44,1,5,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0
1521,37119,39,1,5,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
6642,0,61,1,5,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0
1521,0,23,1,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
1521,0,24,1,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
6641,0,34,1,5,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
6641,0,38,1,5,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
1521,37119,57,1,5,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0
1521,37119,23,2,5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1
